study_ID,sample_ID,sample_type,characteristics,platform,normalization_method,annotation_database
GSE37817,GSM340541,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340544,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340545,non_tumor,non_cancer_individual,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340642,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340645,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340651,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340652,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340662,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340663,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340666,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340667,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340682,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340686,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340698,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340710,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340711,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340713,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340717,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340737,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340740,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE37817,GSM340749,tumor,NMIBC,GPL6102,limma (neqc),illuminaHumanv2.db
GSE52519,GSM1268190,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268191,tumor,NMIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268192,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268193,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268194,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268195,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268196,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268197,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268198,tumor,MIBC,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268199,non_tumor,non_cancer_individual,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268200,non_tumor,non_cancer_individual,GPL6884,limma (neqc),illuminaHumanv3.db
GSE52519,GSM1268201,non_tumor,non_cancer_individual,GPL6884,limma (neqc),illuminaHumanv3.db
GSE65635,GSM1602279,non_tumor,non_cancer_individual,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602280,non_tumor,non_cancer_individual,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602281,non_tumor,non_cancer_individual,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602282,non_tumor,non_cancer_individual,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602283,tumor,NMIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602284,tumor,MIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602285,tumor,NMIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602286,tumor,NMIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602287,tumor,MIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602288,tumor,MIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602289,tumor,NMIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE65635,GSM1602290,tumor,NMIBC,GPL14951,limma (neqc),illuminaHumanv4.db
GSE7476,GSM180991,non_tumor,non_cancer_individual,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180992,non_tumor,non_cancer_individual,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180993,non_tumor,non_cancer_individual,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180994,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180995,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180996,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180997,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
